name,location_district,location_place,location_detail,room_type,room_area,total_price,average_price
华萃西山,门头沟,门头沟其它,永定镇地铁S1号线石厂西南700米,3室,83.0,390.0,47000
金隅·金麟府,大兴,大兴其它,景园北街贵派大厦首层（荣昌东街地铁站对面）,3室,89.0,468.0,52695
住总正华·时代广场,大兴,天宫院,地铁4号线生物医药基地站南200米,0室,61.0,404.0,55000
天恒京西悦府,房山,阎村,燕房线阎村地铁站东南角约189米,3室,175.0,800.0,50000
东方太阳城,顺义,顺义其它,潮白河畔（顺义新城滨河森林公园西300米）,5室,411.0,2100.0,54000
西城天铸,丰台,丽泽,丽泽桥西北角，紧邻玉璞公园，距离三环450米,,,1000.0,58000
壹亮马,朝阳,酒仙桥,驼房营南路，将府公园西侧,4室,171.0,1700.0,98000
中粮天恒天悦壹号,丰台,西红门,南四环地铁新宫站南500米,5室,220.0,2000.0,82000
中海云熙,大兴,大兴其它,魏善庄新城南中轴路东侧500米,2室,76.0,285.0,37700
大兴金茂悦,大兴,大兴其它,南中轴与龙江路交汇处东300米（世界月季公园北500米）,3室,74.0,299.0,36500
远洋五里春秋,石景山,石景山其它,五里坨黑石头路前行500m,4室,330.0,1300.0,52024
林肯时代,亦庄开发区,亦庄,荣华路与荣京西街交叉口西侧300米（荣京东街站西侧600米）,2室,103.0,450.0,42000
公园十七区,顺义,后沙峪,中央别墅区火沙路和裕庆路交汇口北500米,3室,90.0,480.0,55711
首开熙悦观湖,房山,房山其它,"房山区青龙湖镇中心区,西至魏各庄路,北至青龙湖管理处",3室,89.0,280.0,32500
国誉府,顺义,马坡,聚源西路7号内205号,2室,80.0,300.0,43467
金辰府,昌平,北七家,北五环定泗路北七家镇政府正南,3室,89.0,400.0,53000
建邦·顺颐府,顺义,后沙峪,空港B区裕民大街30号千里马国际一层建邦·顺颐府售楼中心,3室,89.0,423.0,55583
中铁·诺德春风和院,丰台,花乡,丰台区白盆窑六圈路和樊羊路交汇处东南,3室,89.0,600.0,67702
萬橡悦府,昌平,回龙观,京藏高速与北清路交汇口东2公里,2室,73.0,380.0,54197
中铁诺德·逸府,丰台,科技园区,樊羊路与六圈南路交汇处往南500米,2室,69.0,467.0,67702
华萃西山,门头沟,门头沟其它,门头沟永定镇地铁S1号线石厂站西南700米,4室,135.0,780.0,52000
山屿西山著,海淀,海淀北部新区,海淀区温泉镇太舟坞,3室,89.0,800.0,53000
信达·国子郡,昌平,沙河,沙河镇北沙河中路与高教园附近,3室,79.0,540.0,48810
华业玫瑰东筑,通州,临河里,梨园南街与临河里路交汇处，通州地铁土桥站南行800米,2室,97.0,425.0,50000
北京东湾,通州,万达,通惠北路98号,1室,58.0,420.0,68500
天恒世界集,大兴,高米店,盛坊路1号院,0室,60.0,300.0,55000
中铁诺德阅墅,顺义,中央别墅区,中央别墅区优山美地D区西北侧,4室,220.0,1300.0,62000
懋源·璟岳,丰台,玉泉营,南三环西路99号院,2室,132.0,2300.0,113000
山屿西山著,海淀,海淀北部新区,北清路山屿西山著,4室,225.0,1192.5,53000
御世佳府,通州,潞苑,朝阳北路延长线北侧,4室,222.0,1400.0,70000
碧桂园·京源著,延庆,延庆其它,百泉街与延康路交叉口北200米,3室,89.0,235.0,28000
城市之光·东望,通州,通州其它,东五环化工桥向东京津高速第一出口通马路向南约500米,2室,70.0,380.0,51585
合景泰富天汇,顺义,马坡,昌金路与通顺路交汇处,3室,89.0,330.0,38000
金地旭辉·江山风华,大兴,黄村中,地铁4号线清源路站西侧800米,3室,89.0,480.0,55800
水岸雁栖,怀柔,怀柔,雁栖镇京加路雁栖桥西北500米处,0室,56.0,207.0,34000
金隅学府,大兴,大兴其它,景园北街2号51-1号贵派大厦一楼,2室,82.0,432.0,52695
台湖金茂悦,通州,通州其它,台湖镇亦庄新城惠民路与生态公园路交汇处,2室,80.0,400.0,50000
中国铁建国际公馆,大兴,大兴其它,博兴十路中国铁建国际公馆,2室,80.0,400.0,52695
