class_name,teacher,school_name,student_num
工业级推荐系统的特点与挑战,张亚峰 ,学堂在线计算机学院,119
NLP应用中Transformer模型线上服务加速的业界实践,方佳瑞 ,清华大学,116
C++编程训练营,郑莉 李超 徐明星 ,学堂在线,113
"CVPR2020""最佳论文""对cv领域的启发",黄高 ,清华大学,113
从梯度信噪比来理解深度学习泛化性能为什么这么好,刘锦龙 ,清华大学,111
利用轨迹数据自动校准道路交叉口拓扑信息,刘国平 ,学堂在线计算机学院,111
在线教学网络研讨会会议精彩回放,张莉 赵宏 郑莉 ,中国农业大学,111
智谱新冠流行预测大赛线上颁奖&AI TIME 线上分享,李涓子 刘德兵 张鹏 ,清华大学,110
自动化测试及修复神经网络翻译模型,孙泽宇 ,北京大学,110
VR Experience and Panoramic Video Creation,冯欢 ,南开大学,108
疫情影响下求职的挑战与机遇,张杰 ,学堂在线,107
Introduction to Artificial Intelligence,王刚 李妍 康介恢 王恺 ,南开大学,107
Computer-Aided Drug Design,孙平华 丁克 王玉强 陆小云 徐俊 ,暨南大学,104
基于搜索日志、多维度信息的新冠肺炎风险预测,叶子逸 曾奥涵 ,清华大学,104
任务导向型对话系统评测,高信龙一 ,清华大学,102
自监督学习在视觉场景中的研究新进展,詹晓航 李顺恺 ,香港中文大学,102
KdConv: 知识驱动的中文多轮对话数据集,郑楚杰 ,清华大学,98
MixText: Linguistically-Informed Interpolation of Hidden Space for Semi-Supervised Text Classification,陈佳奥 ,佐治亚理工学院,91
新冠疫情中新闻学术数据的获取及分析应用,杜冀中 ,智谱·AI,91
任务导向对话的数据和平台建设,朱祺 ,清华大学,90
计算机视觉在地图领域的应用,滴滴-科技生态与发展部 ,滴滴,89
Embedded Software Design,赖晓晨 刘辉 申建建 ,大连理工大学,86
AI分割技术在快手平台的应用,宋丛礼 ,清华大学,80
CVPR2020竞赛经验分享会,滴滴-科技生态与发展部 ,滴滴,79
EMNLP2020专场分享,李健铨 关健 朱子宁 ,天津大学,79
对话系统中的个性化回复生成与异常输入检测,郑银河 ,清华大学,77
铸钢件铸造技术,邱葭菲 陈小红 王伟春 林波 巫红燕 王瑞权 ,浙江机电职业技术学院,74
低资源场景下的对话系统任务的模型定制,宋伊萍 ,北京大学,72
大数据管理与挖掘,邵景峰 ,西安工程大学,70
Graph Representation Learning for Drug Discovery,史晨策 ,MILA,70
对神经网络对抗鲁棒性正则化的认识,温宇馨 ,华南理工大学,67
Brain Science and Advanced Imaging Techniques,张明 ,西安交通大学,65
度量和改进图信息在图神经网络中的使用,侯逸帆 ,香港中文大学,65
Engineering Responsible AI,沈向洋 ,清华大学,63
计算机组织与结构,赖晓晨 王洁 迟宗正 ,大连理工大学,60
不止于准确性：使用CheckList为NLP模型的进行行为测试,吴彤霜 ,华盛顿大学,59
细粒度实体分类综述,金海龙 ,清华大学,57
Introduction of Artificial Intelligence,莫宏伟 ,哈尔滨工程大学,57
基于神经隐变量模型的对话状态推理,闵庆凯 ,南京航空航天大学,57
北京邮电大学人工智能能力认证证书项目（002期）,李蕾 杨亚 李睿凡 周延泉 袁宝库 ,北京邮电大学,56
结合词典的中文命名实体识别,李孝男 ,复旦大学,54
TIMME: Twitter Ideology-detection via Multi-task Multi-relational Embedding,肖之屏 ,加州大学洛杉矶分校,53
Java Object Oriented Programming,单博炜 ,长安大学,53
WWW 2020 | 探索资源约束的Contextual Bandits问题,李卿阳 唐小程 ,学堂在线计算机学院,47
神经机器翻译中的曝光偏差，幻觉翻译与跨域稳定性,王朝君 ,爱丁堡大学,43
轮式机器人入门,索毅 ,学堂在线,39
多领域端到端任务型对话系统研究分享,覃立波 ,哈尔滨工业大学,34
探究句法信息对于基于句法距离的语言模型影响,杜文宇 ,西湖大学,31
MySQL Database Programming,付湘琼 赵晓侠 杜文方 郝熙 刘领兵 潘晟旻 郑发鸿 寇卫利 李菊芳 张春红 张俊 张霖 马晓静 ,昆明理工大学,26
计算机辅助绘图——Solid Edge ST,李世芸 ,昆明理工大学,22
深度学习训练营（测试）,胡晓林 ,清华大学,19
Ship,孙建平 姜忻 ,大连海事大学,12
机器学习训练营第2期,张敏 ,学堂在线计算机学院,9
自然语言处理训练营,刘知远 ,学堂在线计算机学院,8
推荐系统训练营（第2期）,张敏 ,学堂在线计算机学院,5
深度学习训练营,胡晓林 ,学堂在线计算机学院,5
大学计算机基础（艺术类）,史家银 杜文博 朱原良 ,云南艺术学院,2
数据科学认证证书项目（2020年4期）,袁博 王智 袁春 何隽 何隽 ,清华大学,2
青少年编程能力培养计划,郑莉 徐明星 邬晓钧 陈永强 ,清华大学,2
深度学习原理与PyTorch实战,张江 ,集智学园,2
