name	location_district	location_place	location_detail	room_type	room_area	total_price	average_price
路劲·御合院	大兴	大兴新机场洋房别墅区	采育镇彩凤路与育进街交叉口	3室	89	"260.0000	"	29000
熙红印	大兴	西红门	宏福路3号	2室	65	"386.0000	"	64400
长安和玺	石景山	古城	古城南里长安和玺	4室	125	"920.0000	"	74000
观承·望溪	顺义	后沙峪	京承高速8号出口东800米	4室	257	"1200.0000	"	55800
中海甲叁號院	丰台	玉泉营	丰台恒丰路	3室	145	"1600.0000	"	117500
熙悦宸著	大兴	西红门	福欣路与京开路交叉口东南侧	3室	81	"521.0000	"	64400
亦庄橡树湾	亦庄开发区	马驹桥	马驹桥镇亦庄新城漷马路与兴华南街交汇处东300米	2室	78	"257.0000	"	37000
海淀幸福里	海淀	海淀北部新区	北清路海淀幸福里	3室	98	"774.0000	"	80000
复地通运府	通州	万达	东关大道复地通运府			"510.0000	"	50000
中旅·亦府	大兴	大兴其它	兴亦路与博兴十路交叉路口往西北约100米	3室	89	"445.0000	"	50000
北京壹号总部	大兴	亦庄	台湖镇光机电一体化产业基地科创东二街5号			"5777.0000	"	28000
常青藤A区	朝阳	东坝	东坝中街13号院			"850.0000	"	43000
住总兴创如遇	大兴	大兴新机场洋房别墅区	采华路与育镇街交叉路口往西北约100米(采育文化广场西南侧约100米)	1室	53	"159.0000	"	30000
福海棠·华府	丰台	马家堡	马家堡东路189号院	4室	217	"1550.0000	"	72000
京投发展公园悦府	昌平	回龙观	回南北路与科星西路交汇路口处（8号线平西府站向东200米）	3室	86	"740.0000	"	58500
兴创屹墅	大兴	高米店	"双高路兴创屹墅小区, 高米店南里"	5室	464	"3500.0000	"	70000
华贸铂金墅	朝阳	北苑	清苑路华贸天地北侧	3室	326	"1400.0000	"	69000
天恒乐墅	房山	阎村	京港澳高速阎村出口西行1500米	4室	184	"738.0000	"	43370
丽景长安二期	门头沟	冯村	永定镇石龙西路与三石路交叉口向南200米西侧	4室	155	"830.0000	"	52000
观承别墅·大家	顺义	后沙峪	高丽营镇京承高速8号出口路东	4室	300	"1570.0000	"	55000
卓越万科翡翠山晓	石景山	石景山其它	石景山石门路东侧500米	3室	90	"450.0000	"	49999
